,,Return from Trek,,
<span class="dates-thead">Depart</span>,<span class="dates-thead">Trek Only</span>,<span class="dates-thead">+ 5-Day Safari</span>,<span class="dates-thead">+ 7-Day Safari</span>,<span class="dates-thead">Notes</span>
,,<span class="table-year">2014</span>,,
Jun 1<br/>,"Jun 10<br/>$4,490","Jun 15<br/>$7,580","Jun 17<br/>$8,580",
Jun 6<br/>,"Jun 15<br/>$4,490","Jun 20<br/>$7,580","Jun 22<br/>$8,580",
Jun 17<br/>,"Jun 26<br/>$4,490","Jul 1<br/>$7,580","Jul 3<br/>$8,580",
Jun 25<br/>,"Jul 4<br/>$4,490","Jul 9<br/>$7,580","Jul 11<br/>$8,580",
Jul 2<br/>,"Jul 11<br/>$4,490","Jul 16<br/>$7,580","Jul 18<br/>$8,580",
Jul 9<br/>,"Jul 18<br/>$4,490","Jul 23<br/>$7,580","Jul 25<br/>$8,580",
Jul 18<br/>,"Jul 27<br/>$4,490","Aug 1<br/>$7,580","Aug 3<br/>$8,580",
Aug 3<br/>,"Aug 12<br/>$4,490","Aug 17<br/>$7,580","Aug 19<br/>$8,580",
Aug 13<br/>,"Aug 22<br/>$4,490","Aug 27<br/>$7,580","Aug 29<br/>$8,580",
Aug 20<br/>,"Aug 29<br/>$4,490","Sep 3<br/>$7,580","Sep 5<br/>$8,580",Limited Availability
Sep 2<br/>,"Sep 11<br/>$4,490","Sep 16<br/>$7,580","Sep 18<br/>$8,580",
Sep 16<br/>,"Sep 25<br/>$4,490","Sep 30<br/>$7,580","Oct 2<br/>$8,580",
Sep 26<br/>,"Oct 5<br/>$4,490","Oct 10<br/>$7,580","Oct 12<br/>$8,580",
Oct 2<br/>,"Oct 11<br/>$4,490","Oct 16<br/>$7,580","Oct 18<br/>$8,580",
Oct 17<br/>,"Oct 26<br/>$4,490","Oct 31<br/>$7,580","Nov 2<br/>$8,580",
Oct 24<br/>,"Nov 2<br/>$4,490","Nov 7<br/>$7,580","Nov 9<br/>$8,580",
Oct 31<br/>,"Nov 9<br/>$4,490","Nov 14<br/>$7,580","Nov 16<br/>$8,580",
Dec 17<br/>,"Dec 26<br/>$4,490","Dec 31<br/>$7,580","Jan 2<br/>$8,580",
Dec 20<br/>,"Dec 29<br/>$4,490","Jan 3<br/>$7,580","Jan 5<br/>$8,580",
Dec 26<br/>,"Jan 4<br/>$4,490","Jan 9<br/>$7,580","Jan 11<br/>$8,580",
,,<span class="table-year">2015</span>,,
Jan 4<br/>,"Jan 13<br/>$4,490","Jan 18<br/>$7,580","Jan 20<br/>$8,580",
Jan 11<br/>,"Jan 20<br/>$4,490","Jan 25<br/>$7,580","Jan 27<br/>$8,580",
Jan 20<br/>,"Jan 29<br/>$4,490","Feb 3<br/>$7,580","Feb 5<br/>$8,580",
Jan 28<br/>,"Feb 6<br/>$4,490","Feb 11<br/>$7,580","Feb 13<br/>$8,580",
Feb 6<br/>,"Feb 15<br/>$4,490","Feb 20<br/>$7,580","Feb 22<br/>$8,580",
Feb 10<br/>,"Feb 19<br/>$4,490","Feb 24<br/>$7,580","Feb 26<br/>$8,580",
Feb 17<br/>,"Feb 26<br/>$4,490","Mar 3<br/>$7,580","Mar 5<br/>$8,580",
Feb 27<br/>,"Mar 8<br/>$4,490","Mar 13<br/>$7,580","Mar 15<br/>$8,580",
Mar 8<br/>,"Mar 17<br/>$4,490","Mar 22<br/>$7,580","Mar 24<br/>$8,580",
Mar 17<br/>,"Mar 26<br/>$4,490","Mar 31<br/>$7,580","Apr 2<br/>$8,580",
Mar 24<br/>,"Apr 2<br/>$4,490","Apr 7<br/>$7,580","Apr 9<br/>$8,580",
